inicio,fim,delta,theta,alpha,beta,gamma
0.0,5.0,1.711920224701806,99.99999999999999,25.843418182885983,2.0639241833885413,0.0
1.0,6.0,1.6686829064142035,100.0,24.988887397226854,2.015099799103448,0.0
2.0,7.0,13.47485857035251,99.99999999999999,20.092080330962354,1.8013289805515798,0.0
3.0,8.0,2.352235517736988,100.00000000000001,17.059843514421036,1.0420508038478304,0.0
4.0,9.0,1.9047096308418143,99.99999999999999,21.704600832265676,1.5480942808496276,0.0
5.0,10.0,2.0230983389725727,100.0,20.6077079531374,1.276056037712233,0.0
6.0,11.0,2.1573336356095294,100.0,19.492372498084503,1.2129925284428271,0.0
7.0,12.0,1.9940863218123204,99.99999999999999,18.429277001867113,1.2699352605927814,0.0
8.0,13.0,2.3265999819329575,100.0,14.449691126403918,0.8947065455772951,0.0
9.0,14.0,2.2473434799064047,100.0,13.155843386870558,1.0832461148745973,0.0
10.0,15.0,1.852918418346136,99.99999999999999,12.062955397283073,1.092314881284096,0.0
11.0,16.0,1.202549056906682,100.00000000000001,40.73202406464039,14.572289321819644,0.0
12.0,17.0,1.022716260137634,100.00000000000001,39.30857875406671,19.459218486027147,0.0
13.0,18.0,1.1043728543786737,100.0,40.397641259916114,26.303985321679395,0.0
14.0,19.0,1.0834835535415483,100.0,41.04564157565328,26.69683476433415,0.0
15.0,20.0,1.3877934627788113,100.0,42.39514050054336,27.533668252545976,0.0
16.0,21.0,1.0925701879355592,100.0,70.11997792252956,49.35473440925408,0.0
17.0,22.0,4.128160557003251,61.117921775686966,100.00000000000001,77.72531296617942,0.0
18.0,23.0,1.2610049639588579,91.92617075273446,100.0,44.018152920404226,0.0
19.0,24.0,1.3620189748042486,100.0,57.839690827999334,23.57170081592945,0.0
20.0,25.0,1.4097682830698222,100.0,51.00268849559145,18.312216836003554,0.0
21.0,26.0,1.4407188529251753,100.0,52.877545472520346,21.65954700213847,0.0
22.0,27.0,1.929601580689765,99.99999999999999,43.42412102869991,29.884929633051637,0.0
23.0,28.0,4.757050110417461,89.80503045106393,100.0,96.5390939874522,0.0
24.0,29.0,2.0595361110598613,100.0,75.9729961090701,63.07742903613813,0.0
25.0,30.0,1.9643251231545307,100.0,62.422837556610375,27.153770095809264,0.0
26.0,31.0,2.4891313640026222,99.99999999999999,59.34310119280354,17.283628872652578,0.0
27.0,32.0,1.7190129496409061,100.0,45.93960466496476,13.274678436892307,0.0
28.0,33.0,1.7136301440636081,99.99999999999999,74.3010430287549,29.806762884195578,0.0
29.0,34.0,1.5338379217869234,87.1731634504513,100.0,55.7164914213177,0.0
30.0,35.0,0.7457627196080222,44.74599871614297,100.0,76.8468376814459,0.0
31.0,36.0,0.5645889976677696,42.01745152078068,100.00000000000001,65.47293205275871,0.0
32.0,37.0,0.6164594522382598,43.577849013209665,100.00000000000001,64.77743436735916,0.0
33.0,38.0,0.8334789597701725,55.65669233343813,100.0,56.93795497007943,0.0
34.0,39.0,1.061973080764344,52.403884507796874,99.99999999999999,48.0352630952907,0.0
35.0,40.0,0.683629788858821,40.884194633006956,100.0,40.97212183105805,0.0
36.0,41.0,0.5193153271018064,24.897429605896512,100.0,25.56659801450626,0.0
37.0,42.0,0.30621272729451804,22.250736265727596,100.0,20.401152728377216,0.0
38.0,43.0,0.2732216069095017,16.088104828933364,100.0,15.763926378049124,0.0
39.0,44.0,0.25049632150998985,12.795267174412006,100.0,13.694865071351785,0.0
40.0,45.0,0.15092601978134615,11.658244609615052,100.0,14.013750734408504,0.0
41.0,46.0,0.2803989448971122,10.29674353851213,100.0,13.417812835853363,0.0
42.0,47.0,0.16700212096111583,12.97313808683243,99.99999999999999,12.8455164225017,0.0
43.0,48.0,0.2550945401957199,15.596529239888037,100.0,13.830587990530207,0.0
44.0,49.0,0.48778580663198434,20.09818095427115,100.0,14.97164255230275,0.0
45.0,50.0,0.3987808409592134,22.55572445699734,99.99999999999999,14.329830248951568,0.0
46.0,51.0,0.27676889438778796,16.34812092706847,100.0,14.28402092707282,0.0
47.0,52.0,0.301062716465093,17.327601569611268,100.0,13.79127296246827,0.0
48.0,53.0,0.3040022082416431,17.84585565359072,100.0,14.005026564130212,0.0
49.0,54.0,0.29961459943460944,20.234728795050025,99.99999999999999,14.291431166944143,0.0
50.0,55.0,0.36156627622626275,22.325773537316877,100.0,16.864364741528874,0.0
51.0,56.0,0.31253577177061714,19.906250702033805,100.00000000000001,17.32664615036344,0.0
52.0,57.0,0.3658710149238732,21.636335949851563,100.0,17.88479003434621,0.0
53.0,58.0,0.34137857478840744,23.76542215707993,99.99999999999999,22.13560485927653,0.0
54.0,59.0,0.39008478135713776,22.581704438509643,100.00000000000001,22.36415590335932,0.0
55.0,60.0,0.2659763403426126,22.445464421146834,100.0,21.431614266659736,0.0
56.0,61.0,0.22105752266015294,21.23510607443499,100.00000000000001,20.501513560585046,0.0
57.0,62.0,0.3037383000501165,22.65588046621511,100.00000000000001,17.193129463795614,0.0
58.0,63.0,0.589280951263519,27.91700169940819,100.0,15.190764270714924,0.0
